DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-10-21 23:00:00,,20211200,2629.0,20211100,,20211200
2021-10-22 23:00:00,,20211200,2630.0,20211100,,20211200
2021-10-25 23:00:00,2626.0,20211200,2623.0,20211100,2626.0,20211200
2021-10-26 23:00:00,,20211200,2600.0,20211100,,20211200
2021-10-27 23:00:00,,20211200,2630.0,20211100,,20211200
2021-10-28 23:00:00,,20211200,2725.0,20211100,,20211200
2021-10-29 23:00:00,,20211200,2726.0,20211100,,20211200
2021-11-01 23:00:00,2723.0,20211200,2720.0,20211100,2723.0,20211200
2021-11-02 23:00:00,,20211200,2712.0,20211100,,20211200
2021-11-03 23:00:00,,20211200,2711.0,20211100,,20211200
2021-11-04 23:00:00,,20211200,2721.0,20211100,,20211200
2021-11-05 23:00:00,,20211200,2740.0,20211100,,20211200
2021-11-08 23:00:00,2775.0,20211200,2773.0,20211100,2775.0,20211200
2021-11-15 23:00:00,2788.0,20220100,2789.0,20211200,2788.0,20220100
2021-11-22 23:00:00,2732.0,20220100,2733.0,20211200,2732.0,20220100
2021-11-23 23:00:00,,20220100,2732.0,20211200,,20220100
2021-11-24 23:00:00,,20220100,2790.0,20211200,,20220100
2021-11-25 23:00:00,,20220100,2818.0,20211200,,20220100
2021-11-26 23:00:00,,20220100,2817.0,20211200,,20220100
2021-11-29 23:00:00,2831.0,20220100,2832.0,20211200,2831.0,20220100
2021-11-30 23:00:00,,20220100,2806.0,20211200,,20220100
2021-12-01 23:00:00,,20220100,2800.0,20211200,,20220100
2021-12-02 23:00:00,,20220100,2815.0,20211200,,20220100
2021-12-03 23:00:00,,20220100,2810.0,20211200,,20220100
2021-12-06 23:00:00,2717.0,20220100,2719.0,20211200,2717.0,20220100
2021-12-13 23:00:00,2813.0,20220200,2808.0,20220100,2813.0,20220200
2021-12-20 23:00:00,2828.0,20220200,2823.0,20220100,2828.0,20220200
2021-12-22 23:00:00,,20220200,2804.0,20220100,,20220200
2021-12-23 23:00:00,,20220200,2774.0,20220100,,20220200
2021-12-24 23:00:00,,20220200,2803.0,20220100,,20220200
2021-12-27 23:00:00,2833.0,20220200,2827.0,20220100,2833.0,20220200
2021-12-28 23:00:00,,20220200,2819.0,20220100,,20220200
2021-12-29 23:00:00,,20220200,2808.0,20220100,,20220200
2021-12-30 23:00:00,,20220200,2816.0,20220100,,20220200
2021-12-31 23:00:00,,20220200,2819.0,20220100,,20220200
2022-01-03 23:00:00,2842.0,20220200,2836.0,20220100,2842.0,20220200
2022-01-10 23:00:00,2840.0,20220300,2833.0,20220200,2840.0,20220300
2022-01-17 23:00:00,2705.0,20220300,2700.0,20220200,2705.0,20220300
2022-01-24 23:00:00,2606.0,20220300,2602.0,20220200,2606.0,20220300
2022-01-25 23:00:00,,20220300,2670.0,20220200,,20220300
2022-01-26 23:00:00,,20220300,2694.0,20220200,,20220300
2022-01-27 23:00:00,,20220300,2688.0,20220200,,20220300
2022-01-28 23:00:00,,20220300,2699.0,20220200,,20220300
2022-01-31 23:00:00,2704.0,20220300,2701.0,20220200,2704.0,20220300
2022-02-07 23:00:00,2719.0,20220300,2715.0,20220200,2719.0,20220300
2022-02-14 23:00:00,2668.0,20220400,2663.0,20220300,2668.0,20220400
2022-02-21 23:00:00,2740.0,20220400,2733.0,20220300,2740.0,20220400
2022-02-22 23:00:00,,20220400,2686.0,20220300,,20220400
2022-02-23 23:00:00,,20220400,2718.0,20220300,,20220400
2022-02-24 23:00:00,,20220400,2685.0,20220300,,20220400
2022-02-25 23:00:00,,20220400,2699.0,20220300,,20220400
2022-02-28 23:00:00,2678.0,20220400,2672.0,20220300,2678.0,20220400
2022-03-14 23:00:00,2590.0,20220500,2585.0,20220400,2590.0,20220500
2022-03-21 23:00:00,2671.0,20220500,2666.0,20220400,2671.0,20220500
2022-03-23 23:00:00,,20220500,2687.0,20220400,,20220500
2022-03-25 23:00:00,,20220500,2656.0,20220400,,20220500
2022-03-28 23:00:00,2631.0,20220500,2664.0,20220400,2631.0,20220500
2022-03-29 23:00:00,,20220500,2646.0,20220400,,20220500
2022-03-30 23:00:00,,20220500,2638.0,20220400,,20220500
2022-03-31 23:00:00,,20220500,2646.0,20220400,,20220500
2022-04-01 23:00:00,,20220500,2675.0,20220400,,20220500
2022-04-04 23:00:00,2715.0,20220500,2710.0,20220400,2715.0,20220500
2022-04-11 23:00:00,2642.0,20220600,2640.0,20220500,2642.0,20220600
2022-04-18 23:00:00,2516.0,20220600,2515.0,20220500,2516.0,20220600
2022-04-21 23:00:00,,20220600,2450.0,20220500,,20220600
2022-04-22 23:00:00,,20220600,2435.0,20220500,,20220600
2022-04-25 23:00:00,2334.0,20220600,2333.0,20220500,2334.0,20220600
2022-04-26 23:00:00,,20220600,2329.0,20220500,,20220600
2022-04-27 23:00:00,,20220600,2372.0,20220500,,20220600
2022-04-28 23:00:00,,20220600,2362.0,20220500,,20220600
2022-04-29 23:00:00,,20220600,2406.0,20220500,,20220600
2022-05-02 23:00:00,2413.0,20220600,2409.0,20220500,2413.0,20220600
2022-05-16 23:00:00,2084.0,20220700,2082.0,20220600,2084.0,20220700
2022-05-23 23:00:00,2161.0,20220700,2159.0,20220600,2161.0,20220700
2022-05-24 23:00:00,,20220700,2168.0,20220600,,20220700
2022-05-25 23:00:00,,20220700,2232.0,20220600,,20220700
2022-05-26 23:00:00,,20220700,2225.0,20220600,,20220700
2022-05-27 23:00:00,,20220700,2259.0,20220600,,20220700
2022-05-30 23:00:00,2264.0,20220700,2262.0,20220600,2264.0,20220700
2022-05-31 23:00:00,,20220700,2254.0,20220600,,20220700
2022-06-01 23:00:00,,20220700,2254.0,20220600,,20220700
2022-06-02 23:00:00,,20220700,2275.0,20220600,,20220700
2022-06-06 23:00:00,2235.0,20220700,2235.0,20220600,2235.0,20220700
2022-06-13 23:00:00,2143.0,20220800,2138.0,20220700,2143.0,20220800
2022-06-20 23:00:00,2054.0,20220800,2049.0,20220700,2054.0,20220800
2022-06-23 23:00:00,,20220800,2044.0,20220700,,20220800
2022-06-24 23:00:00,,20220800,2059.0,20220700,,20220800
2022-06-27 23:00:00,2103.0,20220800,2099.0,20220700,2103.0,20220800
2022-06-28 23:00:00,,20220800,2110.0,20220700,,20220800
2022-06-29 23:00:00,,20220800,2099.0,20220700,,20220800
2022-06-30 23:00:00,,20220800,2088.0,20220700,,20220800
2022-07-01 23:00:00,,20220800,2046.0,20220700,,20220800
2022-07-04 23:00:00,2079.0,20220800,2074.0,20220700,2079.0,20220800
2022-07-11 23:00:00,2038.0,20220900,2034.0,20220800,2038.0,20220900
2022-07-18 23:00:00,2047.0,20220900,2043.0,20220800,2047.0,20220900
