DATETIME,reference_price,reference_contract,reference_date,optimal_position,weight_per_contract,previous_position,previous_weight,reduce_only,dont_trade,position_limit_contracts,position_limit_weight,optimum_weight,minimum_weight,maximum_weight,start_weight,optimised_weight,optimised_position
2023-06-01 18:52:54.647745,116.06,20230900,2023-06-01,0.048129769773859056,0.5942929169449963,0,0.0,False,False,999999999,0.0,0.028603181270797813,-594292916.3507034,594292916.3507034,0.0,0.0,0
2023-06-01 20:21:41.095905,116.06,20230900,2023-06-01,0.048129428947615016,0.5942929169449963,0,0.0,False,False,999999999,0.0,0.028602978720175073,-594292916.3507034,594292916.3507034,0.0,0.0,0
2023-06-01 20:46:30.615045,116.06,20230900,2023-06-01,0.048129428947615016,0.5942929169449963,0,0.0,False,False,999999999,0.0,0.028602978720175073,-594292916.3507034,594292916.3507034,0.0,0.0,0
2023-06-02 20:46:41.981967,116.06,20230900,2023-06-01,0.048129428947615016,0.5938839996188253,0,0.0,False,False,999999999,0.0,0.028583297762779677,-593883999.0249413,593883999.0249413,0.0,0.0,0
2023-06-04 20:46:27.957077,116.06,20230900,2023-06-01,0.04816519537208455,0.5937594299095529,0,0.0,False,False,999999999,0.0,0.02859853894561116,-593759429.3157934,593759429.3157934,0.0,0.0,0
2023-06-05 15:57:57.585542,116.25,20230900,2023-06-02,0.054188710748434045,0.5910561883787383,0,0.0,False,False,999999999,0.0,0.03202857282812739,-591056187.787682,591056187.787682,0.0,0.0,0
2023-06-05 20:46:38.213948,116.25,20230900,2023-06-02,0.054188710748434045,0.5910561883787383,0,0.0,False,False,999999999,0.0,0.03202857282812739,-591056187.787682,591056187.787682,0.0,0.0,0
2023-06-06 20:46:28.316315,116.25,20230900,2023-06-02,0.054188710748434045,0.5866408014096706,0,0.0,False,False,999999999,0.0,0.03178930870081818,-586640800.8230298,586640800.8230298,0.0,0.0,0
2023-06-07 20:46:24.748521,115.36,20230900,2023-06-05,0.05396660658521201,0.5866408014096706,0,0.0,False,False,999999999,0.0,0.03165901333650918,-586640800.8230298,586640800.8230298,0.0,0.0,0
2023-06-08 20:46:19.054532,115.36,20230900,2023-06-05,0.05396660658521201,0.6234509835998527,0,0.0,False,False,999999999,0.0,0.03364553395709672,-623450982.9764018,623450982.9764018,0.0,0.0,0
2023-06-09 20:46:27.515435,115.36,20230900,2023-06-05,0.05093931350750016,0.6234509835998527,0,0.0,False,False,999999999,0.0,0.03175816511015224,-623450982.9764018,623450982.9764018,0.0,0.0,0
2023-06-18 16:11:57.193860,116.69,20230900,2023-06-16,0.06696219479822577,0.6428049272365983,0,0.0,False,False,999999999,0.0,0.04304362875487644,-642804926.5937934,642804926.5937934,0.0,0.0,0
2023-06-20 03:45:32.126770,116.69,20230900,2023-06-16,0.06696219479822577,0.6428049272365983,0,0.0,False,False,999999999,0.0,0.04304362875487644,-642804926.5937934,642804926.5937934,0.0,0.0,0
2023-06-21 03:45:32.542715,116.69,20230900,2023-06-16,0.092996303086693,0.6420636223479891,0,0.0,False,False,999999999,0.0,0.05970954322481359,-642063621.7059255,642063621.7059255,0.0,0.0,0
2023-06-21 18:50:32.973027,116.6,20230900,2023-06-21,0.09186435569868376,0.6444721032482799,0,0.0,False,False,999999999,0.0,0.059204014530678827,-644472102.6038078,644472102.6038078,0.0,0.0,0
2023-06-21 19:15:32.607324,116.6,20230900,2023-06-21,0.09186435569868376,0.6444721032482799,0,0.0,False,False,999999999,0.0,0.059204014530678827,-644472102.6038078,644472102.6038078,0.0,0.0,0
2023-06-22 18:50:31.853336,115.67,20230900,2023-06-22,0.08772815459355796,0.6374696428836449,0,0.0,False,False,999999999,0.0,0.05592403537959659,-637469642.2461753,637469642.2461753,0.0,0.0,0
2023-06-23 18:50:32.824036,116.95,20230900,2023-06-23,0.08652513004917373,0.6384181482471092,0,0.0,False,False,999999999,0.0,0.055239213302833795,-638418147.6086911,638418147.6086911,0.0,0.0,0
2023-06-25 18:50:32.428706,116.95,20230900,2023-06-23,0.0865825102563513,0.6384181482471092,0,0.0,False,False,999999999,0.0,0.05527584586844614,-638418147.6086911,638418147.6086911,0.0,0.0,0
2023-06-26 18:50:32.935405,117.41,20230900,2023-06-26,0.09009919255338214,0.6416646906024668,0,0.0,False,False,999999999,0.0,0.05781347051329803,-641664689.9608021,641664689.9608021,0.0,0.0,0
2023-06-27 18:50:32.776732,117.15,20230900,2023-06-27,0.09067550808713562,0.6465810911016708,0,0.0,False,False,999999999,0.0,0.058629068955178526,-646581090.4550897,646581090.4550897,0.0,0.0,0
2023-06-28 18:50:32.161469,117.1,20230900,2023-06-28,0.09157087997547339,0.6370781099613394,0,0.0,False,False,999999999,0.0,0.05833780314227125,-637078109.3242613,637078109.3242613,0.0,0.0,0
