2023-05-21 10:33:59 {'type': 'Interactive-Diagnostics'}  Running report Roll report sysproduction.reporting.roll_report.roll_report email {'instrument_code': 'ALL'}
2023-05-21 10:35:31 {'type': 'Interactive-Diagnostics'}  Running report Market monitor report sysproduction.reporting.market_monitor_report.market_monitor_report email {'start_date': arg not supplied, 'end_date': arg not supplied}
2023-05-30 20:01:20 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'KOSDAQ', 'contract_date': '20230300'} [Warning] Contract is missing can't get expiry
2023-05-30 20:01:20 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'KOSDAQ', 'contract_date': '20230300'}  Can't resolve contract
2023-05-30 20:01:20 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData'} [Warning] Reqid 13: 200 No security definition has been found for the request for Future(symbol='KOSDQ150', lastTradeDateOrContractMonth='202303', multiplier='10000', exchange='KSE', currency='KRW')
2023-05-30 20:01:21 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RUSSELL_mini', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from RUSSELL_mini/20230900!
2023-05-30 20:01:21 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RUSSELL_mini', 'contract_date': '20230900'} [Warning]  when getting trading hours from RUSSELL_mini/20230900!
2023-05-30 20:01:21 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RUSSELL_mini', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'MSCISING', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from MSCISING/20230600!
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'MSCISING', 'contract_date': '20230600'} [Warning]  when getting trading hours from MSCISING/20230600!
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'MSCISING', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'JGB-SGX-mini', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from JGB-SGX-mini/20230900!
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'JGB-SGX-mini', 'contract_date': '20230900'} [Warning]  when getting trading hours from JGB-SGX-mini/20230900!
2023-05-30 20:01:22 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'JGB-SGX-mini', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-ENERGY', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from US-ENERGY/20230600!
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-ENERGY', 'contract_date': '20230600'} [Warning]  when getting trading hours from US-ENERGY/20230600!
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-ENERGY', 'contract_date': '20230600'}  No IB expiry date found
