DATETIME,"('rob_system', '0')",Actual,Accumulated,Broker,Max
2023-05-27 16:48:14.558674,,200000.0,0.0,226505.44,200000.0
2023-05-27 16:48:58.153027,,210000.0,0.0,226505.44,210000.0
2023-05-30 01:00:13.003393,,210460.24,460.2399999999907,226965.68,210460.24
2023-05-30 03:00:05.600007,,210460.24,460.2399999999907,226965.68,210460.24
2023-05-30 05:00:05.757545,,210439.95,439.95000000001164,226945.39,210439.95
2023-05-30 07:00:05.847325,,210431.22,431.22000000000116,226936.66,210431.22
2023-05-30 09:00:05.937712,,210487.31,487.3099999999977,226992.75,210487.31
2023-05-30 11:00:06.042931,,210536.25,536.25,227041.69,210536.25
2023-05-30 13:00:06.146909,,210441.74,441.7399999999907,226947.18,210441.74
2023-05-30 15:00:06.158400,,210421.83,421.8299999999872,226927.27,210421.83
2023-05-30 17:00:06.266158,,210444.85,444.8500000000058,226950.29,210444.85
2023-05-30 19:00:06.356870,,210453.1,453.1000000000058,226958.54,210453.1
2023-05-31 20:45:11.269515,,210275.16999999998,275.1699999999837,226780.61,210275.16999999998
2023-05-31 20:49:31.762564,210275.16999999998,210275.16999999998,275.1699999999837,226780.61,210275.16999999998
2023-06-01 01:00:12.831047,210275.16999999998,210152.54,152.54000000000815,226657.98,210152.54
2023-06-01 01:00:13.623809,210152.54,210152.54,152.54000000000815,226657.98,210152.54
2023-06-01 03:00:05.533992,210152.54,210152.54,152.54000000000815,226657.98,210152.54
2023-06-01 05:00:05.677616,210152.54,210171.0,171.0,226676.44,210171.0
2023-06-01 07:00:05.764101,210152.54,210172.18,172.17999999999302,226677.62,210172.18
2023-06-01 09:00:05.862524,210152.54,210188.73,188.73000000001048,226694.17,210188.73
2023-06-01 11:00:05.869566,210152.54,210222.9,222.89999999999418,226728.34,210222.9
2023-06-01 13:00:05.966797,210152.54,210175.91,175.9100000000035,226681.35,210175.91
2023-06-01 15:00:06.023555,210152.54,210261.37,261.36999999999534,226766.81,210261.37
2023-06-01 17:00:06.129555,210152.54,210199.27,199.26999999998952,226704.71,210199.27
2023-06-01 19:00:06.199766,210152.54,210160.97,160.97000000000116,226666.41,210160.97
2023-06-02 01:00:12.780276,210152.54,210297.24,297.2399999999907,226802.68,210297.24
2023-06-02 01:00:13.579367,210297.24,210297.24,297.2399999999907,226802.68,210297.24
2023-06-02 03:00:05.406290,210297.24,210297.24,297.2399999999907,226802.68,210297.24
2023-06-02 05:00:05.561649,210297.24,210351.02,351.0199999999895,226856.46,210351.02
2023-06-02 07:00:05.610199,210297.24,210305.34,305.3399999999965,226810.78,210305.34
2023-06-02 09:00:05.692981,210297.24,210299.41,299.4100000000035,226804.85,210299.41
2023-06-02 11:00:05.791995,210297.24,210300.87,300.86999999999534,226806.31,210300.87
2023-06-02 13:00:05.885013,210297.24,210223.72,223.72000000000116,226729.16,210223.72
2023-06-02 15:00:05.992184,210297.24,210263.88999999998,263.88999999998487,226769.33,210263.88999999998
2023-06-02 17:00:06.081661,210297.24,210331.91,331.9100000000035,226837.35,210331.91
2023-06-02 19:00:06.152458,210297.24,210358.91999999998,358.9199999999837,226864.36,210358.91999999998
2023-06-04 01:00:13.197574,210297.24,210341.36,341.35999999998603,226846.8,210341.36
2023-06-04 01:00:14.002425,210341.36,210341.36,341.35999999998603,226846.8,210341.36
2023-06-04 03:00:05.723849,210341.36,210341.36,341.35999999998603,226846.8,210341.36
2023-06-04 05:00:05.804020,210341.36,210341.36,341.35999999998603,226846.8,210341.36
2023-06-04 07:00:05.904148,210341.36,210300.13999999998,300.13999999998487,226805.58,210300.13999999998
2023-06-04 09:00:05.930004,210341.36,210332.94,332.9400000000023,226838.38,210332.94
2023-06-04 11:00:06.030599,210341.36,210325.78,325.77999999999884,226831.22,210325.78
2023-06-04 13:00:06.132896,210341.36,210342.2,342.20000000001164,226847.64,210342.2
2023-06-04 15:00:06.229583,210341.36,210306.7,306.70000000001164,226812.14,210306.7
2023-06-04 17:00:06.335823,210341.36,210317.6,317.6000000000058,226823.04,210317.6
2023-06-04 19:00:06.408968,210341.36,210341.59,341.5899999999965,226847.03,210341.59
