DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2022-04-27 23:00:00,39035.0,39135.0,39135.0,20220600,20220700,20220700
2022-04-28 23:00:00,40165.0,40285.0,40285.0,20220600,20220700,20220700
2022-04-29 23:00:00,38380.0,38475.0,38475.0,20220600,20220700,20220700
2022-05-02 23:00:00,38610.0,38705.0,38705.0,20220600,20220700,20220700
2022-05-03 23:00:00,37735.0,37830.0,37830.0,20220600,20220700,20220700
2022-05-04 23:00:00,39950.0,40015.0,40015.0,20220600,20220700,20220700
2022-05-05 23:00:00,36325.0,36440.0,36440.0,20220600,20220700,20220700
2022-05-06 23:00:00,36000.0,36110.0,36110.0,20220600,20220700,20220700
2022-05-09 23:00:00,30960.0,31030.0,31030.0,20220600,20220700,20220700
2022-05-10 23:00:00,31325.0,31385.0,31385.0,20220600,20220700,20220700
2022-05-11 23:00:00,29220.0,29280.0,29280.0,20220600,20220700,20220700
2022-05-12 23:00:00,28585.0,28630.0,28630.0,20220600,20220700,20220700
2022-05-13 23:00:00,30065.0,30115.0,30115.0,20220600,20220700,20220700
2022-05-16 23:00:00,29525.0,29580.0,29580.0,20220600,20220700,20220700
2022-05-17 23:00:00,30030.0,30105.0,30105.0,20220600,20220700,20220700
2022-05-18 23:00:00,29185.0,29240.0,29240.0,20220600,20220700,20220700
2022-05-19 23:00:00,29955.0,30040.0,30040.0,20220600,20220700,20220700
2022-05-20 23:00:00,29255.0,29330.0,29330.0,20220600,20220700,20220700
2022-05-23 23:00:00,29075.0,29145.0,29145.0,20220600,20220700,20220700
2022-05-24 23:00:00,29405.0,29485.0,29485.0,20220700,20220800,20220800
2022-05-25 23:00:00,29565.0,29645.0,29645.0,20220700,20220800,20220800
2022-05-26 23:00:00,29510.0,29630.0,29630.0,20220700,20220800,20220800
2022-05-27 23:00:00,28900.0,28980.0,28980.0,20220700,20220800,20220800
2022-05-30 23:00:00,31400.0,30855.0,30855.0,20220700,20220800,20220800
2022-05-31 23:00:00,31735.0,31825.0,31825.0,20220700,20220800,20220800
2022-06-01 23:00:00,30115.0,30205.0,30205.0,20220700,20220800,20220800
2022-06-02 23:00:00,30365.0,30440.0,30440.0,20220700,20220800,20220800
2022-06-03 23:00:00,29595.0,29675.0,29675.0,20220700,20220800,20220800
2022-06-06 23:00:00,31555.0,31635.0,31635.0,20220700,20220800,20220800
2022-06-07 23:00:00,31115.0,31215.0,31215.0,20220700,20220800,20220800
2022-06-08 23:00:00,30140.0,30225.0,30225.0,20220700,20220800,20220800
2022-06-09 23:00:00,29980.0,30055.0,30055.0,20220700,20220800,20220800
2022-06-10 23:00:00,28970.0,29050.0,29050.0,20220700,20220800,20220800
2022-06-13 23:00:00,23145.0,23200.0,23200.0,20220700,20220800,20220800
2022-06-14 23:00:00,22150.0,22215.0,22215.0,20220700,20220800,20220800
2022-06-15 23:00:00,21660.0,21720.0,21720.0,20220700,20220800,20220800
2022-06-16 23:00:00,20800.0,20855.0,20855.0,20220700,20220800,20220800
2022-06-17 23:00:00,20510.0,20560.0,20560.0,20220700,20220800,20220800
2022-06-20 23:00:00,20500.0,20330.0,20330.0,20220700,20220800,20220800
2022-06-21 23:00:00,20905.0,21025.0,21025.0,20220700,20220800,20220800
2022-06-22 23:00:00,20120.0,20210.0,20210.0,20220700,20220800,20220800
2022-06-23 23:00:00,20900.0,20995.0,20995.0,20220700,20220800,20220800
2022-06-24 23:00:00,21325.0,21395.0,21395.0,20220800,20220900,20220900
2022-06-27 23:00:00,20855.0,20910.0,20910.0,20220800,20220900,20220900
2022-06-28 23:00:00,20220.0,20265.0,20265.0,20220800,20220900,20220900
2022-06-29 23:00:00,20215.0,20255.0,20255.0,20220800,20220900,20220900
2022-06-30 23:00:00,18805.0,18845.0,18845.0,20220800,20220900,20220900
2022-07-01 23:00:00,19335.0,19365.0,19365.0,20220800,20220900,20220900
2022-07-04 23:00:00,19335.0,19365.0,19365.0,20220800,20220900,20220900
2022-07-05 23:00:00,20410.0,20470.0,20470.0,20220800,20220900,20220900
2022-07-06 23:00:00,20305.0,20370.0,20370.0,20220800,20220900,20220900
2022-07-07 23:00:00,21870.0,21920.0,21920.0,20220800,20220900,20220900
2022-07-08 23:00:00,21790.0,21855.0,21855.0,20220800,20220900,20220900
2022-07-11 23:00:00,20490.0,20550.0,20550.0,20220800,20220900,20220900
2022-07-12 23:00:00,19350.0,19405.0,19405.0,20220800,20220900,20220900
2022-07-13 23:00:00,19630.0,19670.0,19670.0,20220800,20220900,20220900
