DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-26 23:00:00,0.3402,0.3402,0.3402,0.3402,0.0
2023-01-03 23:00:00,0.3379,0.3379,0.3379,0.3379,0.0
2023-01-09 23:00:00,0.343,0.343,0.343,0.343,0.0
2023-01-16 23:00:00,0.3441,0.3441,0.3441,0.3441,0.0
2023-01-23 23:00:00,0.3427,0.3427,0.3427,0.3427,0.0
2023-01-30 23:00:00,0.347,0.347,0.347,0.347,0.0
2023-02-06 23:00:00,0.3458,0.3458,0.3458,0.3458,0.0
2023-02-13 23:00:00,0.3437,0.3437,0.3437,0.3437,0.0
2023-02-20 23:00:00,0.3424,0.3424,0.3424,0.3424,0.0
2023-02-27 23:00:00,0.3364,0.3364,0.3364,0.3364,0.0
2023-03-06 23:00:00,0.3381,0.3381,0.3381,0.3381,0.0
2023-03-13 23:00:00,0.3368,0.3368,0.3368,0.3368,0.0
2023-03-20 23:00:00,0.338,0.338,0.338,0.338,0.0
2023-03-27 23:00:00,0.3412,0.3412,0.3412,0.3412,0.0
2023-04-03 23:00:00,0.3366,0.3366,0.3366,0.3366,0.0
2023-04-10 23:00:00,0.339,0.339,0.339,0.339,0.0
2023-04-17 23:00:00,0.3373,0.3373,0.3373,0.3373,0.0
2023-04-24 23:00:00,0.3353,0.3353,0.3353,0.3353,0.0
2023-05-01 23:00:00,0.3329,0.3329,0.3329,0.3329,0.0
