DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2023-01-09 23:00:00,98.225,98.225,98.225,98.225,0.0
2023-01-16 23:00:00,99.6,99.6,99.6,99.6,0.0
2023-01-23 23:00:00,107.075,107.075,107.075,107.075,0.0
2023-01-30 23:00:00,109.225,109.225,109.225,109.225,0.0
2023-02-06 23:00:00,103.05,103.05,103.05,103.05,0.0
2023-02-13 23:00:00,98.8,98.8,98.8,98.8,0.0
2023-02-20 23:00:00,105.9,105.9,105.9,105.9,0.0
2023-02-27 23:00:00,100.4,100.4,100.4,100.4,0.0
2023-03-06 23:00:00,100.575,100.575,100.575,100.575,0.0
2023-03-13 23:00:00,104.9,104.9,104.9,104.9,0.0
2023-03-20 23:00:00,98.525,98.525,98.525,98.525,0.0
2023-03-27 23:00:00,92.225,92.225,92.225,92.225,0.0
2023-04-03 23:00:00,94.125,94.125,94.125,94.125,0.0
2023-04-07 23:00:00,89.7,89.7,89.7,89.7,0.0
2023-04-10 23:00:00,89.525,89.525,89.525,89.525,0.0
2023-04-17 23:00:00,84.2,84.2,84.2,84.2,0.0
2023-04-24 23:00:00,73.25,73.25,73.25,73.25,0.0
2023-04-29 23:00:00,73.775,73.775,73.775,73.775,0.0
2023-05-02 23:00:00,71.3,71.3,71.3,71.3,0.0
2023-05-08 23:00:00,76.75,76.75,76.75,76.75,0.0
