,date,sampling,expiry
0,20230300,False,20230301
1,20230500,False,20230512
2,20230700,True,20230714
3,20230800,True,20230814
4,20230900,True,20230914
5,20231100,True,20231114
6,20240100,True,20240112
7,20240300,True,20240314
8,20240500,True,20240514
9,20240700,True,20240712
10,20240800,True,20240814
11,20240900,True,20240913
12,20241100,True,20241114
13,20250100,True,20250114
14,20250300,True,20250314
15,20250500,True,20250514
16,20250700,True,20250714
17,20250800,True,20250814
18,20250900,True,20250912
19,20251100,True,20251114
20,20260100,False,20260101
