,date,sampling,expiry
0,20230300,False,20280314
1,20230600,False,20280620
2,20230900,False,20230901
3,20231200,False,20231201
4,20240300,False,20240301
5,20240600,False,20240601
6,20240900,False,20240901
7,20241200,False,20241201
8,20250300,False,20250301
9,20250600,False,20250601
10,20250900,False,20250901
11,20251200,False,20251201
12,20260300,False,20260301
13,20260600,False,20260601
14,20260900,False,20260901
15,20261200,False,20261201
16,20270300,False,20270301
17,20270600,False,20270601
18,20270900,False,20270901
19,20271200,False,20271201
20,20280300,False,20280301
21,20280600,False,20280601
22,20280900,False,20280901
23,20281200,False,20281201
24,20290300,False,20290301
