DATETIME,position
2023-06-21 12:12:31.832352,-1
2023-06-21 15:39:10.238899,-3
2023-06-21 15:41:32.118084,-1
2023-06-21 17:20:19.753553,-3
2023-06-21 19:12:10.519113,-5
2023-06-21 19:12:59.692134,-3
2023-06-21 19:13:21.402719,-5
2023-06-21 19:14:13.595200,-3
2023-06-29 09:00:04.826033,-2
